block_number,latency_ms,peak_bin,peak_magnitude
390,0.0963,20,4113.43
391,0.104891,20,4106.09
392,0.097055,20,4095.12
393,0.104175,20,4095.49
394,0.101059,20,4104.7
395,0.118354,20,4082.91
396,0.108458,20,4090.9
397,0.101507,20,4092.2
398,0.093722,20,4109.18
399,0.102951,20,4083.06
400,0.098486,20,4093.6
401,0.101696,20,4095.95
402,0.1307,20,4101.1
403,0.108283,20,4095.89
404,0.103688,20,4100
405,0.098378,20,4104.61
406,0.122048,20,4084.63
407,0.099537,20,4101.47
408,0.095864,20,4110.97
409,0.110379,20,4119.39
410,0.10323,20,4096.55
411,0.098784,20,4108.09
412,0.110049,20,4096.96
413,0.091877,20,4119.67
414,0.133078,20,4108.33
415,0.093839,20,4086.69
416,0.115068,20,4107.39
417,0.097313,20,4099.68
418,0.122702,20,4101.34
419,0.098538,20,4080.25
420,0.095212,20,4091.07
421,0.098812,20,4090.45
422,0.114227,20,4078.11
423,0.105396,20,4116.19
424,0.093641,20,4073.75
425,0.098142,20,4110.58
426,0.102727,20,4079.92
427,0.109983,20,4110.55
428,0.097804,20,4078.88
429,0.129049,20,4100.33
430,0.098989,20,4095.51
431,0.106884,20,4089.97
432,0.117392,20,4078.41
433,0.102655,20,4097.84
434,0.120649,20,4078.29
435,0.098447,20,4093.82
436,0.101938,20,4072.17
437,0.101545,20,4080.65
438,0.10557,20,4091
439,0.100198,20,4083.47
440,0.09583,20,4089.1
441,0.092361,20,4111.99
442,0.104965,20,4093.56
443,0.099024,20,4099
444,0.105375,20,4075.14
445,0.116433,20,4101.75
446,0.099933,20,4090.27
447,0.09676,20,4093.11
448,0.103173,20,4082.83
449,0.115335,20,4099.08
450,0.094683,20,4097.18
451,0.139088,20,4092.94
452,0.1051,20,4081.6
453,0.106162,20,4088.79
454,0.103481,20,4097.91
455,0.119782,20,4091.66
456,0.101773,20,4096.06
457,0.136846,20,4084.75
458,0.101506,20,4110.95
459,0.098278,20,4097.52
460,0.097186,20,4093.49
461,0.149891,20,4091.73
462,0.100392,20,4091.64
463,0.095791,20,4094.39
464,0.111033,20,4101.35
465,0.09995,20,4095.84
466,0.147497,20,4098.04
467,0.098712,20,4094.38
468,0.102301,20,4107.83
469,0.10431,20,4108.34
470,0.101154,20,4084.21
471,0.114515,20,4091.99
472,0.102875,20,4096.27
473,0.114716,20,4087.24
474,0.124031,20,4089.15
475,0.102867,20,4101.05
476,0.125093,20,4089.9
477,0.100116,20,4089.82
478,0.102645,20,4091.74
479,0.105288,20,4111.48
480,0.10009,20,4094.64
481,0.102299,20,4096.47
482,0.097524,20,4092.46
483,0.116984,20,4076.2
484,0.093783,20,4092.12
485,0.105799,20,4098.53
486,0.102817,20,4079.75
487,0.103088,20,4108.48
488,0.104701,20,4091.14
489,0.101773,20,4093.55
490,0.103382,20,4094.64
491,0.097636,20,4093.93
492,0.144683,20,4098.84
493,0.099258,20,4096.78
494,0.093063,20,4090.18
495,0.101239,20,4083.97
496,0.1076,20,4094.76
497,0.099737,20,4086.56
498,0.100103,20,4101.12
499,0.117444,20,4106.35
500,0.09755,20,4107.74
501,0.114801,20,4086.79
502,0.117354,20,4096.49
503,0.104449,20,4095.94
504,0.0986,20,4095.07
505,0.102795,20,4102.84
506,0.153156,20,4085.87
507,0.111662,20,4103.72
508,0.104444,20,4100.3
509,0.098131,20,4104.43
510,0.100148,20,4090.55
511,0.102765,20,4096.5
512,0.099523,20,4099.51
513,0.146836,20,4078.4
514,0.107877,20,4082.97
515,0.101816,20,4091.82
516,0.105078,20,4098.39
517,0.1399,20,4078.44
518,0.106626,20,4095.65
519,0.104982,20,4101.75
520,0.105524,20,4095.92
521,0.11493,20,4093.86
522,0.112715,20,4112.67
523,0.1007,20,4078.77
524,0.112593,20,4081.63
525,0.109277,20,4107.16
526,0.10495,20,4096.39
527,0.102068,20,4089.98
528,0.108154,20,4106.12
529,0.103616,20,4084.84
530,0.099485,20,4103.9
531,0.097218,20,4091.79
532,0.102596,20,4089.83
533,0.104443,20,4098.94
534,0.113958,20,4115.87
535,0.110314,20,4090.64
536,0.106465,20,4100.6
537,0.128407,20,4074.6
538,0.100386,20,4106.46
539,0.113049,20,4101.76
540,0.134894,20,4099.89
541,0.100421,20,4094.12
542,0.102322,20,4109.46
543,0.114373,20,4092.54
544,0.099996,20,4108.54
545,0.102317,20,4063.07
546,0.110932,20,4082.66
547,0.128395,20,4103.84
548,0.100041,20,4093.38
549,0.097875,20,4111.24
550,0.116391,20,4100
551,0.107084,20,4114.37
552,0.127094,20,4081.12
553,0.102816,20,4094.21
554,0.099125,20,4126.9
555,0.109693,20,4107.58
556,0.11857,20,4110.79
557,0.095455,20,4103.44
558,0.119684,20,4102.49
559,0.128175,20,4086.49
560,0.099615,20,4081.51
561,0.098791,20,4105.9
562,0.099689,20,4102.05
563,0.097629,20,4103.99
564,0.113375,20,4103.49
565,0.098844,20,4090.03
566,0.097154,20,4093.02
567,0.096405,20,4106.39
568,0.099694,20,4105.27
569,0.146054,20,4102.61
570,0.107429,20,4093.46
571,0.147755,20,4108.3
572,0.097399,20,4097.25
573,0.110847,20,4096.43
574,0.105923,20,4092.18
575,0.088159,20,4109.89
576,0.109116,20,4077.17
577,0.105442,20,4079.71
578,0.110349,20,4103.2
579,0.105276,20,4074.77
580,0.108023,20,4100.57
581,0.09261,20,4088.05
582,0.103742,20,4089.12
583,0.118794,20,4100.93
584,0.13659,20,4087.2
585,0.099609,20,4109.28
586,0.141627,20,4109.21
587,0.105066,20,4107.55
588,0.107826,20,4078.39
589,0.095906,20,4085.25
590,0.136626,20,4093.52
591,0.096449,20,4096.1
592,0.105491,20,4088.52
593,0.135079,20,4088.55
594,0.104151,20,4090.7
595,0.099695,20,4092.65
596,0.101284,20,4077.71
597,0.108397,20,4083.66
598,0.099213,20,4088.03
599,0.108205,20,4100.99
600,0.099778,20,4118.02
601,0.164122,20,4111.44
602,0.118355,20,4083.88
603,0.109841,20,4099.24
604,0.097949,20,4096.59
605,0.101746,20,4083.61
606,0.102731,20,4099.96
607,0.105197,20,4096.3
608,0.100896,20,4089.19
609,0.111085,20,4111.73
610,0.109319,20,4113.6
611,0.096149,20,4088.76
612,0.101404,20,4102.72
613,0.095468,20,4080.28
614,0.101529,20,4115.85
615,0.09527,20,4094.87
616,0.093388,20,4095.5
617,0.110108,20,4098.25
618,0.103628,20,4095.52
619,0.101149,20,4072.03
620,0.111139,20,4133.8
621,0.121216,20,4110.77
622,0.100764,20,4099.55
623,0.104774,20,4088.51
624,0.096153,20,4101.52
625,0.095553,20,4069.18
626,0.106087,20,4108.14
627,0.095174,20,4081.09
628,0.096148,20,4105.34
629,0.10036,20,4111.71
630,0.100752,20,4102.76
631,0.107495,20,4109.91
632,0.120085,20,4099.69
633,0.097998,20,4099.87
634,0.102987,20,4098.91
635,0.116548,20,4115.61
636,0.116218,20,4083.74
637,0.101142,20,4103.98
638,0.107288,20,4098.15
639,0.107863,20,4091.95
640,0.110485,20,4092.73
641,0.105414,20,4097.34
642,0.095976,20,4099.85
643,0.11203,20,4090.13
644,0.105977,20,4102.37
645,0.111114,20,4108.36
646,0.107699,20,4109.74
647,0.122057,20,4100.93
648,0.100613,20,4081.78
649,0.131627,20,4100.43
650,0.104863,20,4110
651,0.122573,20,4103.1
652,0.137084,20,4112.39
653,0.121308,20,4097.06
654,0.125421,20,4084.79
655,0.135068,20,4072.21
656,0.097055,20,4101.55
657,0.094928,20,4098.11
658,0.118441,20,4105.59
659,0.10591,20,4096.94
660,0.100548,20,4081.81
661,0.123455,20,4090.18
662,0.101911,20,4060.28
663,0.104784,20,4073.47
664,0.104273,20,4087.06
665,0.103562,20,4106.92
666,0.099818,20,4090.09
667,0.124368,20,4086.88
668,0.101489,20,4075.86
669,0.100042,20,4090.61
670,0.15107,20,4080.71
671,0.100311,20,4114.43
672,0.113374,20,4097.39
673,0.114249,20,4095.65
674,0.095645,20,4100.17
675,0.099702,20,4102.87
676,0.107893,20,4082.95
677,0.098671,20,4097.43
678,0.229535,20,4093.01
679,0.108546,20,4091.88
680,0.101,20,4098.91
681,0.1272,20,4088.56
682,0.124336,20,4089.16
683,0.10407,20,4097.58
684,0.101984,20,4080.97
685,0.102261,20,4087.11
686,0.104456,20,4110.56
687,0.107807,20,4090.5
688,0.105421,20,4084.46
689,0.099811,20,4104.47
690,0.14635,20,4080.39
691,0.100913,20,4104.3
692,0.09822,20,4107.92
693,0.098552,20,4079.69
694,0.12245,20,4075.72
695,0.099457,20,4092.24
696,0.095291,20,4101.47
697,0.100533,20,4091.57
698,0.099012,20,4101.7
699,0.106038,20,4095.94
700,0.100019,20,4082.32
701,0.104575,20,4093.85
702,0.099647,20,4089.55
703,0.098129,20,4113.36
