freq_over_symbol_rate,alpha_0.0_db,alpha_0.2_db,alpha_0.35_db,alpha_0.5_db,alpha_1.0_db
0.3203125,-0.4523894416243738,-0.26060131797257047,-0.20270240183617844,-0.258513752209507,-1.1449498835551533
0.32421875,-0.5068808022134667,-0.29652443018485275,-0.2290096580697063,-0.28063543897894583,-1.1759249781659702
0.328125,-0.564770594125489,-0.33500729577861343,-0.25716215581337115,-0.30396767119975965,-1.2073283104325208
0.33203125,-0.6261058525411357,-0.3760914122363095,-0.2871992786191962,-0.32854506033107556,-1.2391581803240372
0.3359375,-0.6909341241938005,-0.4198184359042215,-0.3191605509861539,-0.35440250907459786,-1.2714128666808873
0.33984375,-0.7593035536196602,-0.4662302315623257,-0.35308565785756696,-0.38157520703269115,-1.3040906399860699
0.34375,-0.8312629716127208,-0.5153689232205823,-0.3890144651854873,-0.4100986270449847,-1.3371897755977784
0.34765625,-0.9068619861473294,-0.5672769462264943,-0.4269870415883393,-0.44000852223804443,-1.3707085674256283
0.3515625,-0.986151076054166,-0.6219971007793077,-0.4670436811317652,-0.47134092382200055,-1.4046453420317586
0.35546875,-1.0691816877609404,-0.6795726069570174,-0.5092249272666456,-0.504132139667351,-1.438998473136802
0.359375,-1.1560063354366497,-0.74004716137389,-0.5535715979625234,-0.5384187536946163,-1.4737663965094125
0.36328125,-1.246678704908112,-0.8034649955983263,-0.6001248120790909,-0.5742376261091277,-1.5089476252168008
0.3671875,-1.3412537617504405,-0.8698709364737265,-0.6489260170233168,-0.6116258945127974,-1.54454076521248
0.37109375,-1.4397878639892312,-0.9393104684988758,-0.7000170177448627,-0.6506209759246594,-1.580544531236328
0.375,-1.542338879891978,-1.0118297984390827,-0.753440007127963,-0.6912605697418152,-1.616957763000729
0.37890625,-1.6489663113703896,-1.0874759223551642,-0.8092375978438361,-0.7335826616725427,-1.653779441635682
0.3828125,-1.7597314235639938,-1.1662966952545626,-0.8674528557339949,-0.7776255286735998,-1.6910087063644996
0.38671875,-1.8746973812297918,-1.2483409035875002,-0.9281293348016108,-0.823427744924182,-1.7286448713808724
0.390625,-1.993929392623062,-1.3336583408312295,-0.9913111138954517,-0.8710281888696332,-1.766687442897041
0.39453125,-2.117494861622054,-1.422299886427536,-1.0570428351786554,-0.9204660513687966,-1.805136136332031
0.3984375,-2.2454635489247012,-1.5143175883627815,-1.1253697444832287,-0.9717808449799878,-1.8439908936080582
0.40234375,-2.377907743230186,-1.6097647497061243,-1.1963377336602816,-1.0250124144218433,-1.8832519005226092
0.40625,-2.5149024434132827,-1.7086960194507466,-1.2699933850459642,-1.0802009482467718,-1.922919604163035
0.41015625,-2.656525552806277,-1.8111674880346829,-1.3463840181738638,-1.1373869917665482,-1.9629947303299613
0.4140625,-2.8028580868240915,-1.9172367879534606,-1.4255577388763532,-1.1966114612716745,-2.0034783009356127
0.41796875,-2.9539843953042384,-2.0269631999154885,-1.5075634909301678,-1.2579156595884342,-2.0443716513426367
0.421875,-3.10999240108776,-2.140407765034676,-1.5924511104152836,-1.3213412930202368,-2.085676447609037
0.42578125,-3.2709738565420228,-2.2576334036026418,-1.6802713829715126,-1.3869304897229338,-2.1273947036046827
0.4296875,-3.4370246199251877,-2.378705041036415,-1.7710761041536545,-1.4547258195670107,-2.1695287979650493
0.43359375,-3.6082449537186116,-2.503689741657062,-1.8649181431043347,-1.5247703155434558,-2.2120814908479884
0.4375,-3.784739847311781,-2.6326568510211708,-1.9618515097834868,-1.5971074967741619,-2.2550559404597497
0.44140625,-3.9666193667201775,-2.765678147601538,-2.061931426015347,-1.6717813931923855,-2.2984557193169612
0.4453125,-4.153999034355209,-2.9028280046967088,-2.165214400637911,-1.748836571963841,-2.342284830211929
0.44921875,-4.3470002422550875,-3.0441835635426133,-2.2717583090661995,-1.8283181657246201,-2.3865477218494
0.453125,-4.545750702634106,-3.1898249187047885,-2.3816224776100077,-1.9102719027183337,-2.4312493041238503
0.45703125,-4.7503849401261595,-3.339835316948113,-2.494867772919066,-1.9947441389215312,-2.4763949630074715
0.4609375,-4.961044830698539,-3.494301370915025,-2.6115566969642106,-2.0817818922540363,-2.521990575020217
0.46484375,-5.177880192909033,-3.6533132890943953,-2.7317534880028287,-2.1714328789788424,-2.5680425212546183
0.46875,-5.401049437990927,-3.8169651237349345,-2.855524228020741,-2.263745552405275,-2.6145577009296033
0.47265625,-5.630720286198562,-3.98535503855181,-2.9829369571915536,-2.3587691440187837,-2.6615435444491373
0.4765625,-5.867070557956597,-4.158585598296968,-3.114061795948828,-2.456553707171612,-2.7090080259432803
0.48046875,-6.11028904966151,-4.336764082516568,-3.248971075327148,-2.5571501634801805,-2.756959675271116
0.484375,-6.3605765055231185,-4.5200028261081595,-3.3877394762959283,-2.660610352088126,-2.8054075894670287
0.48828125,-6.618146698655428,-4.708419589621382,-3.5304441788854417,-2.766987081967911,-2.854361443613818
0.4921875,-6.883227636789476,-4.902137962626625,-3.6771650219897745,-2.8763341874495025,-2.903831501128468
0.49609375,-7.156062910560009,-5.101287803914016,-3.827984674826561,-2.9887065871818215,-2.953828623448544
0.5,-7.436913205404698,-5.306005722790798,-3.9829888211408933,-3.104160346751174,-3.0043642791096756
0.50390625,-7.726058001825013,-5.516435606330276,-4.142266357361516,-3.2227527452017606,-3.055450552206957
0.5078125,-8.023797493236389,-5.732729198104688,-4.30590960605417,-3.344542345725943,-3.1071001502356403
0.51171875,-8.330454756066692,-5.955046734724517,-4.47401454617123,-3.4695890708170807,-3.159326411309073
0.515625,-8.646378213379345,-6.183557647429359,-4.646681061771984,-3.5979542822054134,-3.212143310754402
0.51953125,-8.971944441401707,-6.418441337055433,-4.824013211086658,-3.7297008659280344,-3.265565467089258
0.5234375,-9.307561378315988,-6.6598880319733365,-5.006119518023779,-3.864893322917846,-3.319608147385233
0.52734375,-9.653672007021473,-6.908099740084733,-5.193113288478486,-4.003597865533875,-3.3742872720266996
0.53125,-10.010758598957946,-7.163291307734373,-5.385112954094797,-4.145882520496922,-3.429619418876137
0.53515625,-10.379347625354088,-7.425691600492139,-5.582242446472937,-4.291817238740681,-3.4856218268598216
0.5390625,-10.760015466575943,-7.695544823259327,-5.784631605201566,-4.441474012740007,-3.5423123989903726
0.54296875,-11.15339508113072,-7.973112000142967,-5.992416623542152,-4.594927001935097,-3.5997097048452247
0.546875,-11.560183835397517,-8.258672638132285,-6.20574053610937,-4.752252666934483,-3.6578329825227125
0.55078125,-11.981152746124861,-8.552526602942,-6.424753753489499,-4.913529913251049,-3.7167021400998914
0.5546875,-12.417157454030331,-8.854996240633948,-6.649614649433007,-5.078840245405431,-3.776337756618791
0.55859375,-12.869151333848807,-9.166428785016333,-6.880490207065709,-5.248267932320787,-3.8367610826300473
0.5625,-13.338201261482993,-9.48719909863464,-7.117556731506481,-5.421900185033833,-3.8979940403253117
0.56640625,-13.82550671330597,-9.817712804780411,-7.361000637384876,-5.599827347860504,-3.960059223291995
0.5703125,-14.332423081720671,-10.158409879831066,-7.611019321050488,-5.782143104282605,-4.0229798959260785
0.57421875,-14.860490377578015,-10.509768790021521,-7.867822128797082,-5.968944698966315,-4.086779992540844
0.578125,-15.41146888784134,-10.872311275256912,-8.131631434235766,-6.160333177487205,-4.1514841162112965
0.58203125,-15.987383917088732,-11.246607905893873,-8.402683840102267,-6.356413645521954,-4.217117537395978
0.5859375,-16.590582542705118,-11.633284567998658,-8.68123152234682,-6.5572955494780665,-4.283706192379695
0.58984375,-17.223806479294545,-12.033030070392766,-8.967543737422737,-6.763092980773203,-4.351276681582325
0.59375,-17.890286875698738,-12.446605115484106,-9.261908517375796,-6.973925006250177,-4.419856267780638
0.59765625,-18.593869482735958,-12.87485293911293,-9.56463458178501,-7.189916027527669,-4.489472874291365
0.6015625,-19.33918267881665,-13.318712007494804,-9.876053500998735,-7.411196172446919,-4.560155083165515
0.60546875,-20.131867274686183,-13.779231268946237,-10.19652215167981,-7.637901722188566,-4.6319321334450185
0.609375,-20.978897544711266,-14.25758860455886,-10.526425513717324,-7.870175578111404,-4.704833919534318
0.61328125,-21.88904073305613,-14.755113319920369,-10.866179867462742,-8.108167772916165,-4.778890989740666
0.6171875,-22.873533554297467,-15.273313790634536,-11.216236462501668,-8.3520360313769,-4.854134545038081
0.62109375,-23.94711162612527,-15.813911749281758,-11.577085744427919,-8.601946386625375,-4.930596438111167
0.625,-25.12963883284218,-16.37888522804227,-11.949262245197687,-8.858073858839676,-5.008309172735989
0.62890625,-26.4488122478045,-16.970522922225065,-12.333350266740881,-9.120603204200584,-5.087305903556425
0.6328125,-27.94492610825533,-17.591493829115635,-12.729990518109005,-9.389729743166313,-5.167620436315456
