trace_id,sample_index,amplitude
39,4,0.4481363951002856
39,5,0.4091010375284674
39,6,0.3404240862354082
39,7,0.23134658744916645
39,8,0.09576485652518335
39,9,-0.050297578373209154
39,10,-0.1911374149272711
39,11,-0.31354680790197187
39,12,-0.4286021497218747
39,13,-0.4555990340714814
39,14,-0.4713553510758829
39,15,-0.4603780508756521
40,0,0.09576485652518335
40,1,-0.050297578373209154
40,2,-0.1911374149272711
40,3,-0.31354680790197187
40,4,-0.4286021497218747
40,5,-0.4555990340714814
40,6,-0.4713553510758829
40,7,-0.4603780508756521
40,8,-0.43061246442089646
40,9,-0.3917106528058849
40,10,-0.35334595618167686
40,11,-0.3236302262151881
40,12,-0.328128934965942
40,13,-0.341837515330087
40,14,-0.3377073179747113
40,15,-0.33551984730278983
41,0,-0.43061246442089646
41,1,-0.3917106528058849
41,2,-0.35334595618167686
41,3,-0.3236302262151881
41,4,-0.328128934965942
41,5,-0.341837515330087
41,6,-0.3377073179747113
41,7,-0.33551984730278983
41,8,-0.33484760789571316
41,9,-0.33551984730278983
41,10,-0.3377073179747113
41,11,-0.341837515330087
41,12,-0.32812893496594203
41,13,-0.3236302262151881
41,14,-0.35334595618167686
41,15,-0.3917106528058849
42,0,-0.33484760789571316
42,1,-0.33551984730278983
42,2,-0.3377073179747113
42,3,-0.341837515330087
42,4,-0.32812893496594203
42,5,-0.3236302262151881
42,6,-0.35334595618167686
42,7,-0.3917106528058849
42,8,-0.43061246442089646
42,9,-0.4603780508756521
42,10,-0.4713553510758829
42,11,-0.4555990340714814
42,12,-0.42860214972187466
42,13,-0.31354680790197187
42,14,-0.19113741492727107
42,15,-0.05029757837320917
43,0,-0.43061246442089646
43,1,-0.4603780508756521
43,2,-0.4713553510758829
43,3,-0.4555990340714814
43,4,-0.42860214972187466
43,5,-0.31354680790197187
43,6,-0.19113741492727107
43,7,-0.05029757837320917
43,8,0.09576485652518335
43,9,0.23134658744916647
43,10,0.3404240862354082
43,11,0.4091010375284674
43,12,0.40766691041152464
43,13,0.4091010375284674
43,14,0.3404240862354082
43,15,0.23134658744916645
44,0,0.09576485652518335
44,1,0.23134658744916647
44,2,0.3404240862354082
44,3,0.4091010375284674
44,4,0.40766691041152464
44,5,0.4091010375284674
44,6,0.3404240862354082
44,7,0.23134658744916645
44,8,0.09576485652518335
44,9,-0.050297578373209154
44,10,-0.1911374149272711
44,11,-0.31354680790197187
44,12,-0.4286021497218747
44,13,-0.4555990340714814
44,14,-0.4713553510758829
44,15,-0.4603780508756521
45,0,0.09576485652518335
45,1,-0.050297578373209154
45,2,-0.1911374149272711
45,3,-0.31354680790197187
45,4,-0.4286021497218747
45,5,-0.4555990340714814
45,6,-0.4713553510758829
45,7,-0.4603780508756521
45,8,-0.43061246442089646
45,9,-0.3917106528058849
45,10,-0.35334595618167686
45,11,-0.3236302262151881
45,12,-0.2876594502771811
45,13,-0.3236302262151881
45,14,-0.35334595618167686
45,15,-0.3917106528058849
46,0,-0.43061246442089646
46,1,-0.3917106528058849
46,2,-0.35334595618167686
46,3,-0.3236302262151881
46,4,-0.2876594502771811
46,5,-0.3236302262151881
46,6,-0.35334595618167686
46,7,-0.3917106528058849
46,8,-0.43061246442089646
46,9,-0.4603780508756521
46,10,-0.4713553510758829
46,11,-0.4555990340714814
46,12,-0.3881326650331138
46,13,-0.295339518787073
46,14,-0.2067760531342366
46,15,-0.10648838387630419
47,0,-0.43061246442089646
47,1,-0.4603780508756521
47,2,-0.4713553510758829
47,3,-0.4555990340714814
47,4,-0.3881326650331138
47,5,-0.295339518787073
47,6,-0.2067760531342366
47,7,-0.10648838387630419
47,8,6.938893903907228e-18
47,9,0.10648838387630417
47,10,0.20677605313423664
47,11,0.295339518787073
47,12,0.3881326650331138
47,13,0.4555990340714814
47,14,0.4713553510758829
47,15,0.4603780508756521
48,0,6.938893903907228e-18
48,1,0.10648838387630417
48,2,0.20677605313423664
48,3,0.295339518787073
48,4,0.3881326650331138
48,5,0.4555990340714814
48,6,0.4713553510758829
48,7,0.4603780508756521
48,8,0.43061246442089646
48,9,0.3917106528058849
48,10,0.35334595618167686
48,11,0.3236302262151881
48,12,0.2876594502771811
48,13,0.3236302262151881
48,14,0.35334595618167686
48,15,0.3917106528058849
49,0,0.43061246442089646
49,1,0.3917106528058849
49,2,0.35334595618167686
49,3,0.3236302262151881
49,4,0.2876594502771811
49,5,0.3236302262151881
49,6,0.35334595618167686
49,7,0.3917106528058849
49,8,0.43061246442089646
49,9,0.4603780508756521
49,10,0.4713553510758829
49,11,0.4555990340714814
49,12,0.42860214972187466
49,13,0.31354680790197187
49,14,0.19113741492727107
49,15,0.05029757837320917
50,0,0.43061246442089646
50,1,0.4603780508756521
50,2,0.4713553510758829
50,3,0.4555990340714814
50,4,0.42860214972187466
50,5,0.31354680790197187
50,6,0.19113741492727107
50,7,0.05029757837320917
50,8,-0.09576485652518335
50,9,-0.23134658744916647
50,10,-0.3404240862354082
50,11,-0.4091010375284674
50,12,-0.4481363951002855
50,13,-0.42730832664336627
50,14,-0.32478544802844267
50,15,-0.17515578194607143
51,0,-0.09576485652518335
51,1,-0.23134658744916647
51,2,-0.3404240862354082
51,3,-0.4091010375284674
51,4,-0.4481363951002855
51,5,-0.42730832664336627
51,6,-0.32478544802844267
51,7,-0.17515578194607143
51,8,-6.938893903907228e-18
51,9,0.17515578194607145
51,10,0.32478544802844267
51,11,0.42730832664336627
51,12,0.4481363951002856
51,13,0.4091010375284674
51,14,0.3404240862354082
51,15,0.23134658744916645
52,0,-6.938893903907228e-18
52,1,0.17515578194607145
52,2,0.32478544802844267
52,3,0.42730832664336627
52,4,0.4481363951002856
52,5,0.4091010375284674
52,6,0.3404240862354082
52,7,0.23134658744916645
52,8,0.09576485652518335
52,9,-0.050297578373209154
52,10,-0.1911374149272711
52,11,-0.31354680790197187
52,12,-0.4286021497218747
52,13,-0.4555990340714814
52,14,-0.4713553510758829
52,15,-0.4603780508756521
53,0,0.09576485652518335
53,1,-0.050297578373209154
53,2,-0.1911374149272711
53,3,-0.31354680790197187
53,4,-0.4286021497218747
53,5,-0.4555990340714814
53,6,-0.4713553510758829
53,7,-0.4603780508756521
53,8,-0.43061246442089646
53,9,-0.3917106528058849
53,10,-0.35334595618167686
53,11,-0.3236302262151881
53,12,-0.2876594502771811
53,13,-0.3236302262151881
53,14,-0.35334595618167686
53,15,-0.3917106528058849
54,0,-0.43061246442089646
54,1,-0.3917106528058849
54,2,-0.35334595618167686
54,3,-0.3236302262151881
54,4,-0.2876594502771811
54,5,-0.3236302262151881
54,6,-0.35334595618167686
54,7,-0.3917106528058849
54,8,-0.43061246442089646
54,9,-0.4603780508756521
54,10,-0.4713553510758829
54,11,-0.4555990340714814
54,12,-0.3881326650331138
54,13,-0.295339518787073
54,14,-0.2067760531342366
54,15,-0.10648838387630419
55,0,-0.43061246442089646
55,1,-0.4603780508756521
55,2,-0.4713553510758829
55,3,-0.4555990340714814
55,4,-0.3881326650331138
55,5,-0.295339518787073
55,6,-0.2067760531342366
